Area,Item,Year,Value
United States of America,Agriculture total,1961,8771.6993
United States of America,Enteric Fermentation,1961,6876.7867
United States of America,Manure Management,1961,1583.0819
United States of America,Rice Cultivation,1961,225.05
United States of America,Burning - Crop residues,1961,86.7807
Canada,Agriculture total,1961,1037.4142
Canada,Enteric Fermentation,1961,814.5455
Canada,Manure Management,1961,211.367
Canada,Burning - Crop residues,1961,11.5018
World,Agriculture total,1961,90652.061
World,Enteric Fermentation,1961,65354.8986
World,Manure Management,1961,7178.1744
World,Rice Cultivation,1961,17426.473
World,Burning - Crop residues,1961,692.515
World,Burning - Crop residues,1962,696.8239
World,Rice Cultivation,1962,18052.8117
World,Manure Management,1962,7345.0529
World,Enteric Fermentation,1962,66309.6152
World,Agriculture total,1962,92404.3037
Canada,Burning - Crop residues,1962,12.2012
Canada,Manure Management,1962,211.1611
Canada,Enteric Fermentation,1962,823.547
Canada,Agriculture total,1962,1046.9093
United States of America,Burning - Crop residues,1962,81.3856
United States of America,Rice Cultivation,1962,250.95
United States of America,Manure Management,1962,1634.2182
United States of America,Enteric Fermentation,1962,6980.14
United States of America,Agriculture total,1962,8946.6938
United States of America,Agriculture total,1963,9093.2366
United States of America,Enteric Fermentation,1963,7136.368
United States of America,Manure Management,1963,1619.8426
United States of America,Rice Cultivation,1963,250.95
United States of America,Burning - Crop residues,1963,86.0761
Canada,Agriculture total,1963,1055.184
Canada,Enteric Fermentation,1963,834.5022
Canada,Manure Management,1963,208.0296
Canada,Burning - Crop residues,1963,12.6522
World,Agriculture total,1963,93188.693
World,Enteric Fermentation,1963,67018.8014
World,Manure Management,1963,7390.5096
World,Rice Cultivation,1963,18069.7191
World,Burning - Crop residues,1963,709.663
World,Burning - Crop residues,1964,727.3435
World,Rice Cultivation,1964,18809.7617
World,Manure Management,1964,7375.4298
World,Enteric Fermentation,1964,67934.0813
World,Agriculture total,1964,94846.6162
Canada,Burning - Crop residues,1964,13.6951
Canada,Manure Management,1964,212.5859
Canada,Enteric Fermentation,1964,857.8664
Canada,Agriculture total,1964,1084.1474
United States of America,Burning - Crop residues,1964,83.8071
United States of America,Rice Cultivation,1964,253.05
United States of America,Manure Management,1964,1588.9208
United States of America,Enteric Fermentation,1964,7251.5884
United States of America,Agriculture total,1964,9177.3664
United States of America,Agriculture total,1965,9084.8934
United States of America,Enteric Fermentation,1965,7253.3471
United States of America,Manure Management,1965,1493.9325
United States of America,Rice Cultivation,1965,253.9145
United States of America,Burning - Crop residues,1965,83.6993
Canada,Agriculture total,1965,1106.99
Canada,Enteric Fermentation,1965,879.5902
Canada,Manure Management,1965,214.2154
Canada,Burning - Crop residues,1965,13.1843
World,Agriculture total,1965,96170.8303
World,Enteric Fermentation,1965,69201.5444
World,Manure Management,1965,7460.9229
World,Rice Cultivation,1965,18782.7874
World,Burning - Crop residues,1965,725.5756
World,Burning - Crop residues,1966,738.2234
World,Rice Cultivation,1966,19064.3793
World,Manure Management,1966,7500.3078
World,Enteric Fermentation,1966,70711.4642
World,Agriculture total,1966,98014.3746
Canada,Burning - Crop residues,1966,13.8586
Canada,Manure Management,1966,198.6751
Canada,Enteric Fermentation,1966,850.3576
Canada,Agriculture total,1966,1062.8913
United States of America,Burning - Crop residues,1966,85.5922
United States of America,Rice Cultivation,1966,278.6301
United States of America,Manure Management,1966,1393.1952
United States of America,Enteric Fermentation,1966,7171.6855
United States of America,Agriculture total,1966,8929.103
United States of America,Agriculture total,1967,8934.7227
United States of America,Enteric Fermentation,1967,7125.091
United States of America,Manure Management,1967,1437.1412
United States of America,Rice Cultivation,1967,279.041
United States of America,Burning - Crop residues,1967,93.4495
Canada,Agriculture total,1967,1061.4241
Canada,Enteric Fermentation,1967,840.8983
Canada,Manure Management,1967,206.4041
Canada,Burning - Crop residues,1967,14.1217
World,Agriculture total,1967,99818.7778
World,Enteric Fermentation,1967,72114.4443
World,Manure Management,1967,7713.3139
World,Rice Cultivation,1967,19243.2004
World,Burning - Crop residues,1967,747.8192
World,Burning - Crop residues,1968,753.1774
World,Rice Cultivation,1968,19561.9376
World,Manure Management,1968,7777.1246
World,Enteric Fermentation,1968,73189.3077
World,Agriculture total,1968,101281.5473
Canada,Burning - Crop residues,1968,13.9142
Canada,Manure Management,1968,207.3343
Canada,Enteric Fermentation,1968,834.4625
Canada,Agriculture total,1968,1055.711
United States of America,Burning - Crop residues,1968,86.9456
United States of America,Rice Cultivation,1968,333.3309
United States of America,Manure Management,1968,1426.8616
United States of America,Enteric Fermentation,1968,7105.9045
United States of America,Agriculture total,1968,8953.0426
United States of America,Agriculture total,1969,8908.5042
United States of America,Enteric Fermentation,1969,7100.0029
United States of America,Manure Management,1969,1425.1446
United States of America,Rice Cultivation,1969,301.4624
United States of America,Burning - Crop residues,1969,81.8943
Canada,Agriculture total,1969,1030.4426
Canada,Enteric Fermentation,1969,816.5246
Canada,Manure Management,1969,201.9299
Canada,Burning - Crop residues,1969,11.9882
World,Agriculture total,1969,101806.8491
World,Enteric Fermentation,1969,73528.6849
World,Manure Management,1969,7764.8728
World,Rice Cultivation,1969,19765.1368
World,Burning - Crop residues,1969,748.1545
World,Burning - Crop residues,1970,746.7436
World,Rice Cultivation,1970,20026.8553
World,Manure Management,1970,7814.5448
World,Enteric Fermentation,1970,73937.2094
World,Agriculture total,1970,102525.3531
Canada,Burning - Crop residues,1970,6.804
Canada,Manure Management,1970,209.3919
Canada,Enteric Fermentation,1970,828.5312
Canada,Agriculture total,1970,1044.7271
United States of America,Burning - Crop residues,1970,83.2165
United States of America,Rice Cultivation,1970,257.0306
United States of America,Manure Management,1970,1373.8982
United States of America,Enteric Fermentation,1970,7192.3385
United States of America,Agriculture total,1970,8906.4837
United States of America,Agriculture total,1971,9143.3818
United States of America,Enteric Fermentation,1971,7312.4556
United States of America,Manure Management,1971,1480.9856
United States of America,Rice Cultivation,1971,257.4838
United States of America,Burning - Crop residues,1971,92.4568
Canada,Agriculture total,1971,1045.4302
Canada,Enteric Fermentation,1971,827.1089
Canada,Manure Management,1971,208.2988
Canada,Burning - Crop residues,1971,10.0225
World,Agriculture total,1971,104258.9437
World,Enteric Fermentation,1971,74961.5496
World,Manure Management,1971,8140.923
World,Rice Cultivation,1971,20387.1506
World,Burning - Crop residues,1971,769.3205
World,Burning - Crop residues,1972,756.615
World,Rice Cultivation,1972,20046.7638
World,Manure Management,1972,8260.1541
World,Enteric Fermentation,1972,76213.4314
World,Agriculture total,1972,105276.9642
Canada,Burning - Crop residues,1972,10.7809
Canada,Manure Management,1972,203.0782
Canada,Enteric Fermentation,1972,841.6068
Canada,Agriculture total,1972,1055.4659
United States of America,Burning - Crop residues,1972,85.1057
United States of America,Rice Cultivation,1972,257.4838
United States of America,Manure Management,1972,1424.4296
United States of America,Enteric Fermentation,1972,7458.4141
United States of America,Agriculture total,1972,9225.4331
United States of America,Agriculture total,1973,9395.8432
United States of America,Enteric Fermentation,1973,7619.411
United States of America,Manure Management,1973,1375.6535
United States of America,Rice Cultivation,1973,307.3829
United States of America,Burning - Crop residues,1973,93.3958
Canada,Agriculture total,1973,1070.1528
Canada,Enteric Fermentation,1973,861.488
Canada,Manure Management,1973,196.8924
Canada,Burning - Crop residues,1973,11.7724
World,Agriculture total,1973,107016.6957
World,Enteric Fermentation,1973,77183.8657
World,Manure Management,1973,8335.1433
World,Rice Cultivation,1973,20722.6368
World,Burning - Crop residues,1973,775.0499
World,Burning - Crop residues,1974,787.7358
World,Rice Cultivation,1974,20864.4344
World,Manure Management,1974,8433.5349
World,Enteric Fermentation,1974,79013.0185
World,Agriculture total,1974,109098.7236
Canada,Burning - Crop residues,1974,11.2483
Canada,Manure Management,1974,192.4996
Canada,Enteric Fermentation,1974,890.6312
Canada,Agriculture total,1974,1094.3791
United States of America,Burning - Crop residues,1974,102.0756
United States of America,Rice Cultivation,1974,358.4857
United States of America,Manure Management,1974,1389.8377
United States of America,Enteric Fermentation,1974,7928.455
United States of America,Agriculture total,1974,9778.854
United States of America,Agriculture total,1975,9951.6562
United States of America,Enteric Fermentation,1975,8122.9585
United States of America,Manure Management,1975,1323.0544
United States of America,Rice Cultivation,1975,399.1358
United States of America,Burning - Crop residues,1975,106.5075
Canada,Agriculture total,1975,1122.6697
Canada,Enteric Fermentation,1975,929.2458
Canada,Manure Management,1975,181.4725
Canada,Burning - Crop residues,1975,11.9514
World,Agriculture total,1975,111013.6256
World,Enteric Fermentation,1975,80337.3937
World,Manure Management,1975,8397.6923
World,Rice Cultivation,1975,21473.9111
World,Burning - Crop residues,1975,804.6285
World,Burning - Crop residues,1976,821.2682
World,Rice Cultivation,1976,21432.83
World,Manure Management,1976,8343.3724
World,Enteric Fermentation,1976,81028.899
World,Agriculture total,1976,111626.3696
Canada,Burning - Crop residues,1976,14.0661
Canada,Manure Management,1976,176.6715
Canada,Enteric Fermentation,1976,914.9134
Canada,Agriculture total,1976,1105.6511
United States of America,Burning - Crop residues,1976,111.1499
United States of America,Rice Cultivation,1976,351.2621
United States of America,Manure Management,1976,1256.423
United States of America,Enteric Fermentation,1976,7882.7585
United States of America,Agriculture total,1976,9601.5935
United States of America,Agriculture total,1977,9343.8414
United States of America,Enteric Fermentation,1977,7606.8268
United States of America,Manure Management,1977,1309.1778
United States of America,Rice Cultivation,1977,318.5525
United States of America,Burning - Crop residues,1977,109.2844
Canada,Agriculture total,1977,1067.2626
Canada,Enteric Fermentation,1977,875.0947
Canada,Manure Management,1977,179.2558
Canada,Burning - Crop residues,1977,12.9121
World,Agriculture total,1977,112235.2056
World,Enteric Fermentation,1977,81263.3714
World,Manure Management,1977,8500.591
World,Rice Cultivation,1977,21649.9988
World,Burning - Crop residues,1977,821.2444
World,Burning - Crop residues,1978,821.9048
World,Rice Cultivation,1978,21688.2406
World,Manure Management,1978,8618.3132
World,Enteric Fermentation,1978,81439.6559
World,Agriculture total,1978,112568.1144
Canada,Burning - Crop residues,1978,13.7211
Canada,Manure Management,1978,181.7952
Canada,Enteric Fermentation,1978,826.6505
Canada,Agriculture total,1978,1022.1668
United States of America,Burning - Crop residues,1978,105.6003
United States of America,Rice Cultivation,1978,420.6755
United States of America,Manure Management,1978,1315.7663
United States of America,Enteric Fermentation,1978,7258.6759
United States of America,Agriculture total,1978,9100.718
United States of America,Agriculture total,1979,8834.3188
United States of America,Enteric Fermentation,1979,6967.0824
United States of America,Manure Management,1979,1352.2176
United States of America,Rice Cultivation,1979,406.371
United States of America,Burning - Crop residues,1979,108.6478
Canada,Agriculture total,1979,1003.7079
Canada,Enteric Fermentation,1979,795.0531
Canada,Manure Management,1979,194.7178
Canada,Burning - Crop residues,1979,13.937
World,Agriculture total,1979,112878.3815
World,Enteric Fermentation,1979,81928.4161
World,Manure Management,1979,8776.2209
World,Rice Cultivation,1979,21359.4953
World,Burning - Crop residues,1979,814.2492
World,Burning - Crop residues,1980,833.5956
World,Rice Cultivation,1980,21779.6942
World,Manure Management,1980,8981.5539
World,Enteric Fermentation,1980,82896.8396
World,Agriculture total,1980,114491.6833
Canada,Burning - Crop residues,1980,14.865
Canada,Manure Management,1980,211.3883
Canada,Enteric Fermentation,1980,801.4803
Canada,Agriculture total,1980,1027.7337
United States of America,Burning - Crop residues,1980,113.3169
United States of America,Rice Cultivation,1980,469.105
United States of America,Manure Management,1980,1432.2123
United States of America,Enteric Fermentation,1980,7006.024
United States of America,Agriculture total,1980,9020.6582
United States of America,Agriculture total,1981,9242.7052
United States of America,Enteric Fermentation,1981,7176.1704
United States of America,Manure Management,1981,1409.9429
United States of America,Rice Cultivation,1981,537.103
United States of America,Burning - Crop residues,1981,119.4888
Canada,Agriculture total,1981,1031.9339
Canada,Enteric Fermentation,1981,803.4347
Canada,Manure Management,1981,211.9981
Canada,Burning - Crop residues,1981,16.5012
World,Agriculture total,1981,115350.0964
World,Enteric Fermentation,1981,83659.7476
World,Manure Management,1981,8968.7627
World,Rice Cultivation,1981,21878.5556
World,Burning - Crop residues,1981,843.0306
World,Burning - Crop residues,1982,830.0735
World,Rice Cultivation,1982,21374.9261
World,Manure Management,1982,8971.9269
World,Enteric Fermentation,1982,84611.9965
World,Agriculture total,1982,115788.9229
Canada,Burning - Crop residues,1982,16.517
Canada,Manure Management,1982,210.2295
Canada,Enteric Fermentation,1982,804.4288
Canada,Agriculture total,1982,1031.1753
United States of America,Burning - Crop residues,1982,116.006
United States of America,Rice Cultivation,1982,462.035
United States of America,Manure Management,1982,1352.8028
United States of America,Enteric Fermentation,1982,7234.838
United States of America,Agriculture total,1982,9165.6818
United States of America,Agriculture total,1983,8902.8392
United States of America,Enteric Fermentation,1983,7202.4314
United States of America,Manure Management,1983,1308.264
United States of America,Rice Cultivation,1983,307.2125
United States of America,Burning - Crop residues,1983,84.9312
Canada,Agriculture total,1983,1009.8915
Canada,Enteric Fermentation,1983,785.192
Canada,Manure Management,1983,207.0224
Canada,Burning - Crop residues,1983,17.6772
World,Agriculture total,1983,116328.587
World,Enteric Fermentation,1983,85121.8918
World,Manure Management,1983,8979.6109
World,Rice Cultivation,1983,21421.0833
World,Burning - Crop residues,1983,806.001
World,Burning - Crop residues,1984,835.8364
World,Rice Cultivation,1984,21718.8899
World,Manure Management,1984,9088.7421
World,Enteric Fermentation,1984,85646.1137
World,Agriculture total,1984,117289.5821
Canada,Burning - Crop residues,1984,17.3169
Canada,Manure Management,1984,208.9472
Canada,Enteric Fermentation,1984,769.2096
Canada,Agriculture total,1984,995.4737
United States of America,Burning - Crop residues,1984,110.0231
United States of America,Rice Cultivation,1984,396.9
United States of America,Manure Management,1984,1318.3478
United States of America,Enteric Fermentation,1984,7094.632
United States of America,Agriculture total,1984,8919.9029
United States of America,Agriculture total,1985,8661.2401
United States of America,Enteric Fermentation,1985,6899.2465
United States of America,Manure Management,1985,1296.5182
United States of America,Rice Cultivation,1985,352.975
United States of America,Burning - Crop residues,1985,112.5004
Canada,Agriculture total,1985,975.2274
Canada,Enteric Fermentation,1985,749.0194
Canada,Manure Management,1985,208.3475
Canada,Burning - Crop residues,1985,17.8605
World,Agriculture total,1985,117672.0874
World,Enteric Fermentation,1985,86046.2996
World,Manure Management,1985,9117.4844
World,Rice Cultivation,1985,21666.078
World,Burning - Crop residues,1985,842.2254
World,Burning - Crop residues,1986,844.1563
World,Rice Cultivation,1986,21677.0816
World,Manure Management,1986,9210.0411
World,Enteric Fermentation,1986,86764.5993
World,Agriculture total,1986,118495.8783
Canada,Burning - Crop residues,1986,18.051
Canada,Manure Management,1986,198.0918
Canada,Enteric Fermentation,1986,722.7374
Canada,Agriculture total,1986,938.8802
United States of America,Burning - Crop residues,1986,103.7969
United States of America,Rice Cultivation,1986,334.25
United States of America,Manure Management,1986,1266.0212
United States of America,Enteric Fermentation,1986,6654.728
United States of America,Agriculture total,1986,8358.7961
United States of America,Agriculture total,1987,8099.8692
United States of America,Enteric Fermentation,1987,6446.555
United States of America,Manure Management,1987,1231.4186
United States of America,Rice Cultivation,1987,330.435
United States of America,Burning - Crop residues,1987,91.4606
Canada,Agriculture total,1987,910.3648
Canada,Enteric Fermentation,1987,700.0332
Canada,Manure Management,1987,193.0992
Canada,Burning - Crop residues,1987,17.2324
World,Agriculture total,1987,118100.7867
World,Enteric Fermentation,1987,86836.4769
World,Manure Management,1987,9178.2382
World,Rice Cultivation,1987,21258.4562
World,Burning - Crop residues,1987,827.6153
World,Burning - Crop residues,1988,833.0477
World,Rice Cultivation,1988,21954.4908
World,Manure Management,1988,9202.122
World,Enteric Fermentation,1988,87310.1542
World,Agriculture total,1988,119299.8147
Canada,Burning - Crop residues,1988,16.6296
Canada,Manure Management,1988,200.7751
Canada,Enteric Fermentation,1988,706.1149
Canada,Agriculture total,1988,923.5196
United States of America,Burning - Crop residues,1988,89.2373
United States of America,Rice Cultivation,1988,410.76
United States of America,Manure Management,1988,1261.9257
United States of America,Enteric Fermentation,1988,6316.81
United States of America,Agriculture total,1988,8078.733
United States of America,Agriculture total,1989,7896.7558
United States of America,Enteric Fermentation,1989,6151.979
United States of America,Manure Management,1989,1264.1439
United States of America,Rice Cultivation,1989,380.45
United States of America,Burning - Crop residues,1989,100.1829
Canada,Agriculture total,1989,934.6242
Canada,Enteric Fermentation,1989,715.2754
Canada,Manure Management,1989,201.7404
Canada,Burning - Crop residues,1989,17.6083
World,Agriculture total,1989,121027.0615
World,Enteric Fermentation,1989,88520.5026
World,Manure Management,1989,9269.6152
World,Rice Cultivation,1989,22386.0139
World,Burning - Crop residues,1989,850.9299
World,Burning - Crop residues,1990,851.2251
World,Burning - Savanna,1990,5750.5321
World,Rice Cultivation,1990,22173.3481
World,Manure Management,1990,9262.6981
World,Enteric Fermentation,1990,89072.7867
World,Agriculture total,1990,127110.5902
Canada,Burning - Crop residues,1990,18.0063
United States of America,Burning - Savanna,1990,27.3732
Canada,Burning - Savanna,1990,13.3794
Canada,Manure Management,1990,194.8529
Canada,Enteric Fermentation,1990,725.6513
Canada,Agriculture total,1990,951.89
United States of America,Burning - Crop residues,1990,105.6187
United States of America,Rice Cultivation,1990,399.84
United States of America,Manure Management,1990,1245.5765
United States of America,Enteric Fermentation,1990,6100.821
United States of America,Agriculture total,1990,7879.2294
United States of America,Agriculture total,1991,7929.7109
United States of America,Enteric Fermentation,1991,6123.3945
United States of America,Manure Management,1991,1282.2683
United States of America,Rice Cultivation,1991,393.904
United States of America,Burning - Crop residues,1991,102.771
Canada,Agriculture total,1991,948.0835
Canada,Enteric Fermentation,1991,725.9178
Canada,Manure Management,1991,190.5095
Canada,Burning - Savanna,1991,13.3794
United States of America,Burning - Savanna,1991,27.3732
Canada,Burning - Crop residues,1991,18.2767
World,Agriculture total,1991,126962.9438
World,Enteric Fermentation,1991,89021.0633
World,Manure Management,1991,9248.8137
World,Rice Cultivation,1991,22090.7868
